year,name,pitcher_id,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed,st_avg_speed,sv_avg_speed
2024,"Pressly, Ryan",519151,93.8,93.6,,89.6,89.5,82.4,,,,
2024,"Meyer, Max",676974,94.1,92.7,,88.2,86.7,,,,,
2024,"Chafin, Andrew",605177,91.7,91.7,,82.1,,,,,,
2024,"Boyle, Joe",671212,97.7,,,88,,80.4,,,84.6,
2024,"Kimbrel, Craig",518886,93.9,,,,88.3,84.3,,,85.6,
2024,"Soto, Gregory",642397,97.9,97.4,91.8,86.2,,,,,83.9,
2024,"Kelly, Zack",677161,96.5,,91.1,,83.6,,,,82.2,
2024,"Bender, Anthony",669622,94.6,95.5,,,89.5,,,,84.9,
2024,"Munoz, Andres",662253,98.4,97.5,,87.6,,,,,,
2024,"Zerpa, Angel",672582,95.8,96.5,,86.2,88.6,82.2,,,,
2024,"Nicolas, Kyle",693312,97.4,,,90.9,,85.6,,,,
2024,"Erceg, Lucas",668674,98.6,98.5,,85.7,91,,,,,
2024,"Garcia, Robert",676395,94.5,,,85.5,87.7,,,,,
2024,"Anderson, Justin",605121,96,94.8,92.4,85.6,,,,,,
2024,"Junis, Jakob",596001,92.5,91.9,88.2,83,86.6,,,,,
2024,"Ferguson, Caleb",657571,93.8,94,89,,,,,,79.1,81.1
2024,"Rainey, Tanner",663432,94,,,86.6,85.6,,,,,
2024,"Miller, Tyson",668338,89.6,89.8,,,85.3,78.8,,,80.2,
2024,"Webb, Jacob",657097,93.5,,,,84.3,,,,82.8,
2024,"Helsley, Ryan",664854,99.6,,,89.2,,81.1,,,,
2024,"Alcala, Jorge",660896,98,97.3,,89.9,91,,,,,
2024,"Iglesias, Raisel",628452,95.5,95.6,,84.2,89.5,,,,,
2024,"Hudson, Bryan",663542,91.3,,86.1,,,,,,81.5,
2024,"Romero, JoJo",668941,95.1,94,,84,85.9,,,,,
2024,"Phillips, Evan",623465,96.2,95.7,92.8,,,,,,85,
2024,"Jackson, Luke",592426,94.7,,90.6,87.3,,84.6,,,,
2024,"Johnson, Pierce",572955,95.5,,92,,,85.4,,,,
2024,"Turnbull, Spencer",605513,92,93.2,,84.8,87.7,78.8,,,83.8,
2024,"Diaz, Edwin",621242,97.5,,,89.6,,,,,,
2024,"Roupp, Landen",694738,93.4,94.4,,83.9,88.2,77.4,,,,
2024,"Harvey, Hunter",640451,97.8,,,85.7,,82.3,89.2,,,
2024,"Nardi, Andrew",677053,94,,,82.9,91.4,,,,,
2024,"Foley, Jason",671345,97.2,96.9,,88.5,92.2,,,,,
2024,"McArthur, James",663704,94.7,95.1,,87.7,,83.7,,,,
2024,"Varland, Louie",686973,96.3,93.8,90.1,,89.4,84.6,,,,
2024,"Brazoban, Huascar",623211,96.6,96.2,89.1,,90.3,,,,,
2024,"Payamps, Joel",606303,94.8,94.7,,83.8,89.5,,,,,
2024,"Garcia, Luis",472610,96.1,96.4,88.2,82.8,,,87.1,,80.8,
2024,"Smith, Burch",572143,94.9,92.8,87.6,,85.3,80,,,83.5,
2024,"Schreiber, John",670167,92.9,92,88.7,,85.9,,,,81.1,
2024,"Martin, Davis",663436,93.6,,89,83.6,89.3,78.4,,,,
2024,"Thielbar, Caleb",573204,93.2,,,87.2,,74.1,,,81.5,
2024,"Sims, Lucas",608371,94.2,,90.9,84.8,,79.8,88.3,,84.1,
2024,"Duran, Jhoan",661395,100.5,,,,,86.1,97,,,
2024,"Rodriguez, Randy",678495,97.6,96.3,,84.7,89.7,,,,,
2024,"Holderman, Colin",670059,97.3,97.2,92.1,,,,,,84.7,
2024,"Mantiply, Joe",573009,89.4,88.9,,,81,79.2,,,,
2024,"Mlodzinski, Carmen",669387,96.2,,92.5,87.5,88.6,,,,84.8,
2024,"Rodriguez, Eduardo",593958,92,91.6,88.8,83.9,86.7,,,,,
2024,"Elder, Bryce",693821,91.5,90.2,,83.7,85.1,,,,,
2024,"Perez, Cionel",672335,96.5,96.1,,83.1,,,,,,
2024,"Lee, Dylan",669276,92.4,,,84,85.7,,,,,
